smiles,chembl_id,has_single_amine,amine_type,logP,MW,HDonors,HAcceptors
CCn1ncc2c(NCc3ccc(OC)c(Cl)c3)c(C(=O)O)cnc21,CHEMBL267805,True,secondary,3.4235000000000015,360.8010000000001,2,5
CC(=O)Oc1ccc2c(ccc3oc([N+](=O)[O-])cc32)c1,CHEMBL7207,True,tertiary,3.419500000000002,271.228,0,5
C#CCOc1ccc2c(c1OC)-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3,CHEMBL266488,True,secondary,5.9912000000000045,401.5060000000002,1,4
CC[C@H]1C[C@@H](C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,CHEMBL427957,True,secondary,4.656900000000004,310.319,2,3
COC1(OC)C(=O)Nc2ccccc21,CHEMBL268311,True,secondary,1.0843000000000003,193.20200000000003,1,3
CCN(CC)c1ncnc2c1ncn2Cc1ccccc1,CHEMBL268639,True,tertiary,2.7208000000000006,281.363,0,4
CC(=O)/C=C/CC1C(=O)N2[C@@H](C(=O)O)C(C)(C)S(=O)(=O)[C@@H]12,CHEMBL6311,True,tertiary,-0.03359999999999941,315.34700000000004,1,5
CC(C)[C@H](NC(=O)c1ccccc1Br)C(=O)O,CHEMBL7576,True,secondary,2.2881,300.15200000000004,2,2
C=CCC1Oc2cccc(C=C)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,CHEMBL267940,True,secondary,6.613600000000005,343.47,1,2
CC(C)(C)Nc1ncnc2c1ncn2Cc1ccccc1F,CHEMBL267639,True,secondary,3.2241000000000017,299.353,1,4
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccccc1Br,CHEMBL268669,True,secondary,3.3561000000000014,387.23300000000006,3,2
O=C1c2ccc(Oc3ccccc3)cc2CCC1CCN1CCC(c2ccccc2)CC1,CHEMBL414021,True,tertiary,6.493700000000007,425.57200000000023,0,3
C=CCOc1cccc(C(=O)OCC(O)CNC(C)C)c1,CHEMBL7332,True,secondary,1.7671,293.363,2,5
CC1CC(N)=NC(C)C1,CHEMBL269076,True,primary,1.1620000000000001,126.203,1,2
Nc1nc(O)c2ncn(CCCCCCP(=O)(O)CP(=O)(O)O)c2n1,CHEMBL7319,True,primary,1.0800999999999996,393.277,5,7
CCOC(=O)CNC(=O)c1cc(-c2ccncc2)nnc1Cl,CHEMBL6486,True,secondary,1.4848999999999999,320.736,1,6
COc1cc2c(cc1OC)Nc1ncnc(O)c1C2,CHEMBL414013,True,secondary,1.8471999999999997,259.26500000000004,2,6
CCCc1nnc2c(NC3CCCC3)nc3ccccc3n12,CHEMBL266978,True,secondary,3.584500000000002,295.39,1,4
CCCCCC[C@@H](C(=O)N1C[C@@H](Oc2ccc(CC(=O)O)cc2)C[C@H]1C(=O)O)n1cnc2cc(-c3ccccc3S(=O)(=O)O)ccc21,CHEMBL428890,True,tertiary,5.221700000000004,663.7490000000004,3,7
ONC1c2cc(O)c(O)cc2-c2cc(O)c(O)cc21,CHEMBL6353,True,secondary,1.5575999999999992,261.233,6,6
COc1cc2c(cc1OC)Nc1ncn(C)c(=O)c1C2,CHEMBL6976,True,secondary,1.4452999999999996,273.29200000000003,1,5
CSc1ccc(CC(C)N)cc1,CHEMBL6467,True,primary,2.2982000000000005,181.30399999999997,1,2
CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC(=O)[C@H]1C,CHEMBL269137,True,tertiary,4.2969000000000035,489.65300000000025,1,6
CCOC(=O)C1=C(O)C(=O)N(C2c3ccccc3-c3ccccc32)C1,CHEMBL7224,True,tertiary,2.9738000000000016,335.3590000000001,1,4
COc1ccc2[nH]cc(CCN(C)C)c2c1,CHEMBL7257,True,tertiary,2.2806000000000006,218.29999999999995,1,2
CCOc1noc2c1CNCC2.Cl,CHEMBL6680,True,secondary,1.1407999999999998,204.65699999999998,1,4
COc1ccc2ccc3oc([N+](=O)[O-])cc3c2c1,CHEMBL269488,True,tertiary,3.5028000000000015,243.21799999999996,0,4
O=[N+]([O-])c1cc2c3c(ccc2o1)CCCC3,CHEMBL7374,True,tertiary,3.219800000000001,217.22399999999993,0,3
NC1=NC(c2ccco2)Cc2ccccc21,CHEMBL266226,True,primary,2.2823,212.25199999999998,1,3
CCOC(=O)COc1ccc2c(ccc3oc([N+](=O)[O-])cc32)c1,CHEMBL7525,True,tertiary,3.4361000000000024,315.28100000000006,0,6
NC(=O)c1cc(-c2ccc(F)c(Cl)c2)nnc1Cl,CHEMBL6423,True,primary,2.6884000000000006,286.09299999999996,1,3
COc1ccc(CCNCC(O)C(=O)Oc2ccccc2)cc1OC,CHEMBL415295,True,secondary,1.8023999999999996,345.3950000000001,2,6
COc1ccc(Cl)c(C2(F)C(=O)Nc3c(C#N)cccc32)c1,CHEMBL8069,True,secondary,3.385480000000002,316.719,1,3
Cc1nnc2c(NC3CCCC3)nc3ccccc3n12,CHEMBL267400,True,secondary,2.9404200000000014,267.33599999999996,1,4
CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](Cc3cn(-c4ccccc4)nn3)[C@H]2S1(=O)=O,CHEMBL6220,True,tertiary,0.2544999999999993,390.42100000000005,1,6
O=C1N(Cc2ccccc2)c2ccccc2C12OCCO2,CHEMBL6546,True,tertiary,2.4330000000000007,281.31100000000004,0,3
O=C1Nc2ccc(Br)cc2C12SCCS2,CHEMBL6548,True,secondary,3.0340000000000016,302.218,1,3
COc1ccc(C(=O)OCC(O)CNC(C)C)cc1,CHEMBL266130,True,secondary,1.2108999999999994,267.325,2,5
COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,CHEMBL266510,True,secondary,4.532600000000002,359.706,1,2
NC1=NC(c2cccc(F)c2)Cc2ccccc21,CHEMBL440270,True,primary,2.828400000000001,240.28099999999998,1,2
C#CC(C)(C)NCC(O)COC(=O)c1ccccc1F,CHEMBL268430,True,secondary,1.3447999999999996,279.311,2,4
CN1C(=O)C2(OCCO2)c2ccccc21,CHEMBL6580,True,tertiary,0.8625999999999995,205.21300000000002,0,3
CN(C)c1ncnc2c1ncn2Cc1cccc(OC(=O)C(C)(C)C)c1,CHEMBL7553,True,tertiary,2.892100000000001,353.4260000000001,0,6
CC#CC1Cc2ccsc2C(N)=N1,CHEMBL8302,True,primary,1.4014,190.271,1,3
CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21,CHEMBL6530,True,tertiary,4.145300000000003,311.303,0,3
CCCC(=O)Nc1ccc(S(=O)(=O)c2cccc(OC)c2)cc1,CHEMBL7637,True,secondary,3.266600000000002,333.40900000000005,1,4
Cc1ccc(C(=O)OCC(O)CNC(C)C)cc1,CHEMBL6840,True,secondary,1.5107199999999996,251.32600000000002,2,4
COC(=O)C1=CCCN(C)C1,CHEMBL7303,True,tertiary,0.4213,155.197,0,3
C[C@H](N)Cc1c2ccoc2cc2ccoc12.Cl,CHEMBL6838,True,primary,3.490500000000002,251.713,1,3
